IP:PORT, LOSS, DELAY
162.159.192.195:1010,0.00%,154 ms
162.159.192.109:1010,0.00%,154 ms
162.159.192.223:8742,0.00%,155 ms
162.159.192.130:8742,0.00%,155 ms
162.159.192.97:1010,0.00%,155 ms
162.159.192.12:1010,0.00%,155 ms
162.159.192.62:8742,0.00%,156 ms
162.159.192.155:1010,0.00%,156 ms
162.159.192.154:1010,0.00%,156 ms
162.159.192.145:1010,0.00%,157 ms
162.159.195.178:8742,0.00%,157 ms
162.159.195.199:8742,0.00%,157 ms
162.159.192.187:8742,0.00%,157 ms
162.159.192.216:1010,0.00%,157 ms
162.159.195.179:8742,0.00%,157 ms
162.159.192.25:8742,0.00%,157 ms
162.159.192.195:8742,0.00%,157 ms
162.159.192.187:1010,0.00%,157 ms
162.159.192.54:8742,0.00%,158 ms
162.159.192.164:8742,0.00%,158 ms
162.159.192.155:8742,0.00%,158 ms
162.159.192.164:1010,0.00%,159 ms
162.159.192.169:8742,0.00%,159 ms
162.159.192.8:8742,0.00%,159 ms
162.159.192.238:1010,0.00%,159 ms
162.159.192.59:8742,0.00%,159 ms
162.159.192.47:8742,0.00%,159 ms
162.159.192.225:8742,0.00%,159 ms
162.159.192.28:1010,0.00%,160 ms
162.159.192.109:8742,0.00%,160 ms
162.159.192.28:8742,0.00%,160 ms
162.159.195.169:1010,0.00%,160 ms
162.159.192.181:8742,0.00%,160 ms
162.159.192.223:1010,0.00%,160 ms
162.159.192.166:1010,0.00%,161 ms
162.159.192.130:1010,0.00%,161 ms
162.159.192.54:1010,0.00%,161 ms
162.159.192.97:8742,0.00%,161 ms
162.159.192.62:1010,0.00%,162 ms
162.159.192.244:1010,0.00%,162 ms
162.159.192.30:8742,0.00%,162 ms
162.159.192.174:1010,0.00%,162 ms
162.159.192.244:8742,0.00%,162 ms
162.159.195.199:1010,0.00%,162 ms
162.159.192.154:8742,0.00%,162 ms
162.159.192.205:8742,0.00%,162 ms
162.159.192.39:8742,0.00%,162 ms
162.159.192.168:8742,0.00%,162 ms
162.159.192.158:8742,0.00%,162 ms
162.159.192.168:1010,0.00%,163 ms
162.159.192.158:1010,0.00%,163 ms
162.159.192.145:8742,0.00%,163 ms
162.159.192.53:8742,0.00%,163 ms
162.159.192.18:1010,0.00%,163 ms
162.159.192.132:1010,0.00%,164 ms
162.159.195.111:8742,0.00%,164 ms
162.159.192.181:1010,0.00%,164 ms
162.159.192.230:1010,0.00%,164 ms
162.159.192.25:1010,0.00%,164 ms
162.159.192.12:8742,0.00%,164 ms
162.159.195.161:1010,0.00%,165 ms
162.159.192.132:8742,0.00%,165 ms
162.159.192.238:8742,0.00%,166 ms
162.159.195.0:1010,0.00%,167 ms
162.159.195.129:8742,0.00%,168 ms
162.159.195.141:8742,0.00%,169 ms
162.159.195.23:1010,0.00%,170 ms
162.159.195.203:8742,0.00%,170 ms
162.159.195.94:8742,0.00%,170 ms
162.159.192.74:8742,0.00%,172 ms
162.159.195.178:1010,0.00%,172 ms
162.159.192.8:1010,0.00%,172 ms
162.159.195.179:1010,0.00%,172 ms
162.159.192.53:1010,0.00%,172 ms
162.159.192.169:1010,0.00%,172 ms
162.159.195.246:8742,0.00%,172 ms
162.159.195.111:1010,0.00%,173 ms
162.159.195.117:8742,0.00%,173 ms
162.159.192.228:1010,0.00%,174 ms
162.159.195.233:1010,0.00%,174 ms
162.159.192.228:8742,0.00%,174 ms
162.159.192.225:1010,0.00%,174 ms
162.159.195.143:1010,0.00%,174 ms
162.159.192.47:1010,0.00%,174 ms
162.159.195.117:1010,0.00%,174 ms
162.159.195.169:8742,0.00%,174 ms
162.159.192.133:1010,0.00%,174 ms
162.159.192.236:1010,0.00%,174 ms
162.159.192.205:1010,0.00%,174 ms
162.159.192.174:8742,0.00%,175 ms
162.159.192.59:1010,0.00%,175 ms
162.159.192.166:8742,0.00%,175 ms
162.159.195.1:8742,0.00%,175 ms
162.159.195.223:1010,0.00%,175 ms
162.159.192.230:8742,0.00%,175 ms
162.159.192.74:1010,0.00%,175 ms
162.159.195.35:1010,0.00%,175 ms
162.159.195.119:8742,0.00%,175 ms
162.159.192.245:1010,0.00%,175 ms
162.159.192.216:8742,0.00%,175 ms
162.159.195.119:1010,0.00%,175 ms
162.159.192.215:1010,0.00%,175 ms
162.159.192.38:1010,0.00%,175 ms
162.159.195.1:1010,0.00%,175 ms
162.159.192.38:8742,0.00%,175 ms
162.159.192.18:8742,0.00%,175 ms
162.159.195.203:1010,0.00%,176 ms
162.159.195.126:8742,0.00%,176 ms
162.159.195.161:8742,0.00%,176 ms
162.159.192.39:1010,0.00%,184 ms
162.159.192.236:8742,0.00%,188 ms
162.159.192.245:8742,0.00%,202 ms
162.159.195.143:8742,10.00%,242 ms
162.159.195.253:1010,10.00%,243 ms
162.159.195.99:8742,10.00%,243 ms
162.159.195.214:1010,10.00%,243 ms
162.159.195.197:8742,10.00%,243 ms
162.159.192.30:1010,10.00%,243 ms
162.159.195.253:8742,10.00%,244 ms
162.159.195.126:1010,10.00%,244 ms
162.159.195.0:8742,10.00%,244 ms
162.159.195.97:1010,10.00%,244 ms
162.159.195.97:8742,10.00%,244 ms
162.159.195.197:1010,10.00%,245 ms
162.159.195.129:1010,10.00%,246 ms
162.159.195.23:8742,10.00%,248 ms
162.159.195.246:1010,10.00%,249 ms
162.159.195.182:1010,10.00%,249 ms
162.159.195.27:8742,10.00%,250 ms
162.159.195.16:8742,10.00%,251 ms
162.159.195.84:8742,10.00%,251 ms
162.159.195.31:1010,10.00%,251 ms
162.159.195.43:8742,10.00%,251 ms
162.159.195.36:1010,10.00%,251 ms
162.159.195.182:8742,10.00%,251 ms
162.159.195.16:1010,10.00%,251 ms
162.159.195.41:8742,10.00%,251 ms
162.159.195.94:1010,10.00%,252 ms
162.159.195.41:1010,10.00%,252 ms
162.159.195.47:1010,10.00%,252 ms
162.159.195.7:1010,10.00%,252 ms
162.159.195.31:8742,10.00%,252 ms
162.159.195.56:8742,10.00%,252 ms
162.159.195.56:1010,10.00%,252 ms
162.159.195.195:8742,10.00%,252 ms
162.159.195.233:8742,10.00%,252 ms
162.159.192.215:8742,10.00%,252 ms
162.159.195.195:1010,10.00%,252 ms
162.159.195.39:8742,10.00%,253 ms
162.159.195.223:8742,10.00%,253 ms
162.159.195.7:8742,10.00%,254 ms
162.159.195.35:8742,10.00%,254 ms
162.159.195.99:1010,10.00%,254 ms
162.159.195.84:1010,10.00%,254 ms
162.159.195.60:8742,10.00%,254 ms
162.159.195.60:1010,10.00%,255 ms
162.159.195.27:1010,10.00%,255 ms
162.159.195.39:1010,10.00%,255 ms
162.159.195.214:8742,10.00%,255 ms
